Term/Uttrykk Kategori "Definisjon og Bruk (eksempel)" "Vanlig Feil / ""Falsk Venn"" (fra engelsk)"
"Brikker og brett"   
Brikke "Brikker og brett" "Enhver av de materielle spillebrikkene i sjakk (konge, dronning, tårn, løper, springer eller bonde). Eksempel: Hver spiller har 16 brikker ved spillets start." "Unngå ""piece"" når brikke menes generelt."
Konge "Brikker og brett" "Den viktigste brikken i sjakk, med uvurderlig verdi. Målet med spillet er å sette motstanderens konge sjakkmatt. Kongen kan flytte ett felt i alle retninger. Eksempel: Kongen flyttet til g1 for å komme i sikkerhet.²" "Unngå ""King""."
Dronning "Brikker og brett" "Den sterkeste brikken i sjakk, verdt 9 poeng. Noen kilder anslår verdien til 10 poeng. Den kan flytte så langt den vil langs rader, linjer og diagonaler. Eksempel: Dronningen kontrollerer mange viktige felter fra sentrum.²" "Unngå ""Queen""."
Tårn "Brikker og brett" "En tung offiser, verdt ca. 5 poeng. Tårnet kan flytte så langt det vil langs rader og linjer. Eksempel: Tårnet plasserte seg på den åpne d-linjen.²" "Unngå ""Rook"" eller ""Castle"". Uttrykket ""rooken"" er en vanlig feil.¹"
Løper "Brikker og brett" "En lett offiser, verdt ca. 3 poeng. Løperen kan flytte så langt den vil langs diagonalene, og forblir alltid på felter av samme farge. Eksempel: Løperen på c4 legger press på f7-feltet.²" "Unngå ""Bishop""."
Springer "Brikker og brett" "En lett offiser, verdt ca. 3 poeng. Den beveger seg i en L-form (to felt i én retning og ett felt til siden) og er den eneste brikken som kan hoppe over andre brikker. Kalles også ofte ""hest"". Eksempel: Springeren hoppet til f3 og angrep sentrum.²" "Unngå ""Knight"". ""Hest"" er et vanlig og akseptert uformelt synonym."
Bonde "Brikker og brett" "Den mest tallrike, men minst verdifulle brikken (1 poeng). Bønder flytter rett frem, men slår diagonalt. Fra startposisjonen kan den flytte ett eller to felt. Eksempel: Bonden på e4 er en viktig del av sentrumskontrollen.²" "Unngå ""Pawn""."
Offiser "Brikker og brett" "Samlebetegnelse for dronning, tårn, løper og springer. Kongen regnes vanligvis ikke som en offiser i denne sammenhengen. Eksempel: Hvit har en materiell fordel på grunn av en ekstra offiser.⁶" "Unngå ""Piece"". ""Piece"" kan på engelsk referere til offiserer, men på norsk er ""brikke"" en mer generell term som inkluderer bønder. ""Offiser"" er det presise ordet."
"Lett offiser" "Brikker og brett" "Samlebetegnelse for springer og løper, som begge har en verdi på ca. 3 poeng. Eksempel: Det er viktig å utvikle de lette offiserene tidlig i partiet." "Unngå ""Minor piece""."
"Tung offiser" "Brikker og brett" "Samlebetegnelse for tårn og dronning, de mest verdifulle offiserene (unntatt kongen). Eksempel: De tunge offiserene er mest effektive på åpne linjer." "Unngå ""Major piece""."
